,date,county,new cases,total cases,new tests,total tests
2,04/08/2020,Bronx,1166,17792,2348,34277
23,04/08/2020,Kings,1312,23394,2565,45026
30,04/08/2020,New York,602,12106,1424,29083
40,04/08/2020,Queens,1504,27752,2831,48971
42,04/08/2020,Richmond,641,5984,1528,13469
64,04/07/2020,Bronx,1278,16626,2562,31929
85,04/07/2020,Kings,1203,22082,2607,42461
92,04/07/2020,New York,492,11504,1257,27659
102,04/07/2020,Queens,1408,26248,2884,46140
104,04/07/2020,Richmond,546,5343,1262,11941
126,04/06/2020,Bronx,1021,15348,1996,29367
147,04/06/2020,Kings,1177,20879,2245,39854
154,04/06/2020,New York,572,11012,1249,26402
164,04/06/2020,Queens,1707,24840,2864,43256
166,04/06/2020,Richmond,218,4797,605,10679
188,04/05/2020,Bronx,959,14327,1628,27371
209,04/05/2020,Kings,1144,19702,2013,37609
216,04/05/2020,New York,542,10440,1162,25153
226,04/05/2020,Queens,1697,23133,2730,40392
228,04/05/2020,Richmond,288,4579,600,10074
250,04/04/2020,Bronx,1053,13368,1778,25743
271,04/04/2020,Kings,1054,18558,1990,35596
278,04/04/2020,New York,598,9898,1278,23991
288,04/04/2020,Queens,1322,21436,2255,37662
290,04/04/2020,Richmond,218,4291,513,9474
312,04/03/2020,Bronx,1229,12315,2108,23965
333,04/03/2020,Kings,1804,17504,3234,33606
340,04/03/2020,New York,848,9300,1820,22713
350,04/03/2020,Queens,1947,20114,3407,35407
352,04/03/2020,Richmond,319,4073,679,8961
374,04/02/2020,Bronx,1159,11086,1946,21857
395,04/02/2020,Kings,1396,15700,2512,30372
402,04/02/2020,New York,609,8452,1294,20893
412,04/02/2020,Queens,1899,18167,3048,32000
414,04/02/2020,Richmond,287,3754,563,8282
436,04/01/2020,Bronx,1066,9927,1754,19911
457,04/01/2020,Kings,1189,14304,2041,27860
464,04/01/2020,New York,470,7843,1002,19599
474,04/01/2020,Queens,1366,16268,2157,28952
476,04/01/2020,Richmond,279,3467,559,7719
498,03/31/2020,Bronx,1095,8861,1818,18157
519,03/31/2020,Kings,1198,13115,2011,25819
526,03/31/2020,New York,497,7373,1015,18597
536,03/31/2020,Queens,1211,14902,1871,26795
538,03/31/2020,Richmond,299,3188,616,7160
560,03/30/2020,Bronx,804,7766,1341,16339
581,03/30/2020,Kings,1888,11917,3113,23808
588,03/30/2020,New York,648,6876,1422,17582
598,03/30/2020,Queens,2022,13691,3325,24924
600,03/30/2020,Richmond,324,2889,691,6544
622,03/29/2020,Bronx,658,6962,1160,14998
643,03/29/2020,Kings,1011,10029,1627,20695
650,03/29/2020,New York,422,6228,788,16160
660,03/29/2020,Queens,1258,11669,1915,21599
662,03/29/2020,Richmond,336,2565,711,5853
684,03/28/2020,Bronx,901,6304,1529,13838
705,03/28/2020,Kings,973,9018,1790,19068
712,03/28/2020,New York,590,5806,1160,15372
722,03/28/2020,Queens,1136,10411,1845,19684
724,03/28/2020,Richmond,402,2229,878,5142
746,03/27/2020,Bronx,846,5403,1478,12309
767,03/27/2020,Kings,1238,8045,2254,17278
774,03/27/2020,New York,631,5216,1314,14212
784,03/27/2020,Queens,1238,9275,2055,17839
786,03/27/2020,Richmond,415,1827,847,4264
808,03/26/2020,Bronx,829,4557,1428,10831
829,03/26/2020,Kings,1106,6807,1905,15024
836,03/26/2020,New York,523,4585,1062,12898
846,03/26/2020,Queens,1324,8037,2115,15784
848,03/26/2020,Richmond,223,1412,413,3417
870,03/25/2020,Bronx,838,3728,1770,9403
891,03/25/2020,Kings,755,5701,1550,13119
898,03/25/2020,New York,542,4062,1232,11836
908,03/25/2020,Queens,1238,6713,2110,13669
910,03/25/2020,Richmond,164,1189,293,3004
932,03/24/2020,Bronx,611,2890,1188,7633
953,03/24/2020,Kings,779,4946,1474,11569
960,03/24/2020,New York,442,3520,1065,10604
970,03/24/2020,Queens,1010,5475,1736,11559
972,03/24/2020,Richmond,110,1025,223,2711
994,03/23/2020,Bronx,455,2279,970,6445
1015,03/23/2020,Kings,700,4167,1422,10095
1022,03/23/2020,New York,405,3078,990,9539
1032,03/23/2020,Queens,839,4465,1518,9823
1034,03/23/2020,Richmond,200,915,487,2488
1056,03/22/2020,Bronx,606,1824,1276,5475
1077,03/22/2020,Kings,702,3467,1506,8673
1084,03/22/2020,New York,607,2673,1367,8549
1094,03/22/2020,Queens,1152,3626,2048,8305
1096,03/22/2020,Richmond,193,715,417,2001
1118,03/21/2020,Bronx,367,1218,1044,4199
1139,03/21/2020,Kings,893,2765,1941,7167
1146,03/21/2020,New York,522,2066,1370,7182
1156,03/21/2020,Queens,843,2474,1927,6257
1158,03/21/2020,Richmond,207,522,645,1584
1180,03/20/2020,Bronx,297,851,884,3155
1201,03/20/2020,Kings,538,1872,1378,5226
1208,03/20/2020,New York,370,1544,1263,5812
1218,03/20/2020,Queens,491,1631,1218,4330
1220,03/20/2020,Richmond,109,315,334,939
1242,03/19/2020,Bronx,191,554,605,2271
1263,03/19/2020,Kings,674,1334,1553,3848
1270,03/19/2020,New York,437,1174,1235,4549
1280,03/19/2020,Queens,519,1140,1179,3112
1282,03/19/2020,Richmond,116,206,272,605
1304,03/18/2020,Bronx,154,363,597,1666
1325,03/18/2020,Kings,273,660,795,2295
1332,03/18/2020,New York,335,737,1074,3314
1342,03/18/2020,Queens,336,621,768,1933
1344,03/18/2020,Richmond,33,90,110,333
1366,03/17/2020,Bronx,123,209,433,1069
1387,03/17/2020,Kings,264,387,741,1500
1394,03/17/2020,New York,161,402,598,2240
1404,03/17/2020,Queens,123,285,371,1165
1406,03/17/2020,Richmond,26,57,61,223
1428,03/16/2020,Bronx,29,86,151,636
1449,03/16/2020,Kings,39,123,171,759
1456,03/16/2020,New York,69,241,398,1642
1466,03/16/2020,Queens,38,162,136,794
1468,03/16/2020,Richmond,11,31,35,162
1490,03/15/2020,Bronx,29,57,116,485
1511,03/15/2020,Kings,26,84,166,588
1518,03/15/2020,New York,60,172,317,1244
1528,03/15/2020,Queens,49,124,198,658
1530,03/15/2020,Richmond,6,20,27,127
1552,03/14/2020,Bronx,8,28,80,369
1573,03/14/2020,Kings,17,58,99,422
1580,03/14/2020,New York,28,112,193,927
1590,03/14/2020,Queens,18,75,110,460
1592,03/14/2020,Richmond,3,14,29,100
1614,03/13/2020,Bronx,10,20,99,289
1635,03/13/2020,Kings,17,41,136,323
1642,03/13/2020,New York,39,84,268,734
1652,03/13/2020,Queens,30,57,154,350
1654,03/13/2020,Richmond,5,11,34,71
1676,03/12/2020,Bronx,3,10,36,190
1697,03/12/2020,Kings,8,24,59,187
1704,03/12/2020,New York,18,45,186,466
1714,03/12/2020,Queens,15,27,74,196
1716,03/12/2020,Richmond,4,6,16,37
1738,03/11/2020,Bronx,2,7,31,154
1759,03/11/2020,Kings,2,16,24,128
1766,03/11/2020,New York,3,27,70,280
1776,03/11/2020,Queens,5,12,44,122
1778,03/11/2020,Richmond,1,2,5,21
1800,03/10/2020,Bronx,0,5,47,123
1821,03/10/2020,Kings,7,14,29,104
1828,03/10/2020,New York,12,24,78,210
1838,03/10/2020,Queens,4,7,18,78
1840,03/10/2020,Richmond,1,1,5,16
1862,03/09/2020,Bronx,4,5,31,76
1883,03/09/2020,Kings,1,7,31,75
1890,03/09/2020,New York,7,12,47,132
1900,03/09/2020,Queens,0,3,15,60
1902,03/09/2020,Richmond,0,0,6,11
1924,03/08/2020,Bronx,1,1,16,45
1945,03/08/2020,Kings,2,6,10,44
1952,03/08/2020,New York,0,5,24,85
1962,03/08/2020,Queens,1,3,13,45
1964,03/08/2020,Richmond,0,0,0,5
1986,03/07/2020,Bronx,0,0,17,29
2007,03/07/2020,Kings,0,4,9,34
2014,03/07/2020,New York,0,5,22,61
2024,03/07/2020,Queens,0,2,14,32
2026,03/07/2020,Richmond,0,0,2,5
2048,03/06/2020,Bronx,0,0,6,12
2069,03/06/2020,Kings,3,4,12,25
2076,03/06/2020,New York,3,5,14,39
2086,03/06/2020,Queens,1,2,10,18
2088,03/06/2020,Richmond,0,0,3,3
2110,03/05/2020,Bronx,0,0,5,6
